#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950	6.4	0
1	3	900	12.6	0
1	4	800	27	0
1	5	700	43.1	0
1	6	600	58.7	0
1	7	500	72.1	0
1	8	400	80.8	0
1	9	300	83.2	0
1	10	200	77.2	0
1	11	150	69.7	0
1	12	100	58.3	0
1	13	75	51.2	0
1	14	50	41.1	0
1	15	25	28.2	0
1	16	12.5	19.6	0
1	17	0	0	0
1	18	12.5	-16.2	0
1	19	25	-21.4	0
1	20	50	-28.1	0
1	21	75	-32.5	0
1	22	100	-35.3	0
1	23	150	-39.1	0
1	24	200	-41.6	0
1	25	300	-43.2	0
1	26	400	-43.2	0
1	27	500	-41.1	0
1	28	600	-36.9	0
1	29	700	-30.9	0
1	30	800	-23	0
1	31	900	-13.4	0
1	32	950	-7.6	0
1	0			
