#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.12	5.64	0
1	3	900.24	11.88	0
1	4	850.33	18.49	0
1	5	800.39	25.18	0
1	6	750.4	31.76	0
1	7	700.38	37.99	0
1	8	650.33	43.75	0
1	9	600.25	48.91	0
1	10	550.14	53.33	0
1	11	500	56.89	0
1	12	449.85	59.38	0
1	13	399.68	60.59	0
1	14	349.51	60.1	0
1	15	299.34	58.36	0
1	16	249.19	55.33	0
1	17	199.05	50.97	0
1	18	148.94	45.14	0
1	19	98.87	37.36	0
1	20	73.87	32.48	0
1	21	48.9	26.56	0
1	22	24.01	18.84	0
1	23	11.63	13.54	0
1	24	6.73	10.56	0
1	25	4.31	8.67	0
1	26	0	0	0
1	27	5.69	-7.67	0
1	28	8.27	-9.16	0
1	29	13.37	-11.4	0
1	30	25.99	-15.12	0
1	31	51.1	-20.24	0
1	32	76.13	-24	0
1	33	101.13	-27.02	0
1	34	151.06	-31.68	0
1	35	200.95	-35.05	0
1	36	250.81	-37.43	0
1	37	300.66	-38.92	0
1	38	350.49	-39.5	0
1	39	400.32	-39.17	0
1	40	450.15	-37.48	0
1	41	500	-34.83	0
1	42	549.87	-31.43	0
1	43	599.75	-27.49	0
1	44	649.67	-23.15	0
1	45	699.62	-18.55	0
1	46	749.6	-13.86	0
1	47	799.62	-9.26	0
1	48	849.68	-5.03	0
1	49	899.77	-1.54	0
1	50	949.88	0.68	0
1	0			
