#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.26	8.81	0
1	3	900.52	20.05	0
1	4	850.7	32.02	0
1	5	800.79	43.93	0
1	6	750.81	55.26	0
1	7	700.75	65.47	0
1	8	650.63	74.02	0
1	9	600.45	80.3	0
1	10	550.23	83.78	0
1	11	500	85.53	0
1	12	449.76	85.9	0
1	13	399.52	85.01	0
1	14	349.52	82.8	0
1	15	299.06	79.27	0
1	16	248.86	74.37	0
1	17	198.68	67.9	0
1	18	148.54	59.57	0
1	19	98.48	48.72	0
1	20	73.49	42.02	0
1	21	48.55	34.13	0
1	22	23.7	24.17	0
1	23	11.34	17.78	0
1	24	6.46	14.09	0
1	25	4.06	11.68	0
1	26	0	0	0
1	27	5.94	-10.68	0
1	28	8.54	-12.69	0
1	29	13.66	-15.64	0
1	30	26.3	-20.45	0
1	31	51.45	-27.81	0
1	32	76.51	-33.54	0
1	33	101.52	-38.38	0
1	34	151.46	-46.11	0
1	35	201.32	-51.98	0
1	36	251.14	-56.47	0
1	37	300.94	-59.83	0
1	38	350.71	-62.2	0
1	39	400.48	-63.59	0
1	40	450.24	-64	0
1	41	500	-63.47	0
1	42	549.77	-61.88	0
1	43	599.55	-58.88	0
1	44	649.37	-53.42	0
1	45	699.25	-46.03	0
1	46	749.19	-37.36	0
1	47	799.21	-28.01	0
1	48	849.3	-18.56	0
1	49	899.48	-9.71	0
1	50	949.74	-2.49	0
1	0			
