#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.6	12.75	0
1	3	901.2	27.44	0
1	4	851.62	42.76	0
1	5	801.85	57.94	0
1	6	751.91	72.38	0
1	7	701.78	85.39	0
1	8	651.49	96.39	0
1	9	601.07	104.64	0
1	10	550.56	109.23	0
1	11	500	111.48	0
1	12	449.43	111.88	0
1	13	398.85	110.59	0
1	14	348.29	107.59	0
1	15	297.75	102.87	0
1	16	247.26	96.33	0
1	17	196.83	87.73	0
1	18	146.51	76.69	0
1	19	96.36	62.31	0
1	20	71.4	53.47	0
1	21	46.56	43.06	0
1	22	21.94	30	0
1	23	9.81	21.47	0
1	24	5.09	16.92	0
1	25	2.8	14.05	0
1	26	0	0	0
1	27	7.2	-12.05	0
1	28	9.91	-14.12	0
1	29	15.19	-17.19	0
1	30	28.06	-22.56	0
1	31	53.44	-30.42	0
1	32	78.6	-36.51	0
1	33	103.64	-41.63	0
1	34	153.49	-49.77	0
1	35	203.17	-55.89	0
1	36	252.74	-60.53	0
1	37	302.25	-63.99	0
1	38	351.71	-66.39	0
1	39	401.15	-67.75	0
1	40	450.57	-68.08	0
1	41	500	-67.36	0
1	42	549.44	-65.43	0
1	43	598.93	-61.8	0
1	44	648.51	-55.19	0
1	45	698.22	-46.51	0
1	46	748.09	-36.58	0
1	47	798.15	-26.1	0
1	48	848.38	-15.84	0
1	49	898.8	-6.76	0
1	50	949.4	-0.11	0
1	0			
