#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.33	9.86	0
1	3	900.66	19.79	0
1	4	850.9	29.74	0
1	5	801.03	39.35	0
1	6	751.07	48.47	0
1	7	701.01	56.86	0
1	8	650.86	64.4	0
1	9	600.64	70.85	0
1	10	550.35	76.02	0
1	11	500	79.63	0
1	12	449.62	81.39	0
1	13	399.23	81.39	0
1	14	348.84	79.71	0
1	15	298.46	76.58	0
1	16	248.81	71.93	0
1	17	197.81	65.62	0
1	18	147.57	57.41	0
1	19	97.46	46.72	0
1	20	72.47	40.1	0
1	21	47.57	32.27	0
1	22	22.83	22.34	0
1	23	10.59	15.88	0
1	24	5.8	12.36	0
1	25	3.47	10.1	0
1	26	0	0	0
1	27	6.53	-8.1	0
1	28	9.2	-9.56	0
1	29	14.41	-11.6	0
1	30	27.17	-14.9	0
1	31	52.43	-19.63	0
1	32	77.53	-23.14	0
1	33	102.54	-26.04	0
1	34	152.43	-30.49	0
1	35	202.19	-33.78	0
1	36	251.89	-36.13	0
1	37	301.54	-37.7	0
1	38	351.16	-38.51	0
1	39	400.77	-38.55	0
1	40	450.38	-37.59	0
1	41	500	-35.51	0
1	42	549.65	-32.22	0
1	43	599.36	-28.01	0
1	44	649.14	-23.2	0
1	45	698.99	-17.98	0
1	46	748.93	-12.67	0
1	47	798.97	-7.51	0
1	48	849.1	-2.82	0
1	49	899.34	0.89	0
1	50	949.67	2.78	0
1	0			
