#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950	2.88	0
1	3	900	7.86	0
1	4	850	13.82	0
1	5	800	20.29	0
1	6	750	26.95	0
1	7	700	33.5	0
1	8	650	39.74	0
1	9	600	45.48	0
1	10	550	50.56	0
1	11	500	54.8	0
1	12	450	57.98	0
1	13	400	59.81	0
1	14	350	59.78	0
1	15	300	58.44	0
1	16	250	55.76	0
1	17	200	51.73	0
1	18	150	46.2	0
1	19	100	38.71	0
1	20	75	33.94	0
1	21	50	28.1	0
1	22	25	20.35	0
1	23	12.5	14.9	0
1	24	7.5	11.79	0
1	25	5	9.78	0
1	26	0	0	0
1	27	5	-9.78	0
1	28	7.5	-11.79	0
1	29	12.5	-14.9	0
1	30	25	-20.35	0
1	31	50	-28.1	0
1	32	75	-33.94	0
1	33	100	-38.71	0
1	34	150	-46.2	0
1	35	200	-51.73	0
1	36	250	-55.76	0
1	37	300	-58.44	0
1	38	350	-59.78	0
1	39	400	-59.81	0
1	40	450	-57.98	0
1	41	500	-54.8	0
1	42	550	-50.56	0
1	43	600	-45.48	0
1	44	650	-39.74	0
1	45	700	-33.5	0
1	46	750	-26.95	0
1	47	800	-20.29	0
1	48	850	-13.82	0
1	49	900	-7.86	0
1	50	950	-2.88	0
1	0			
