#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.21	7.65	0
1	3	900.44	17.61	0
1	4	850.61	28.85	0
1	5	800.73	40.82	0
1	6	750.77	53.1	0
1	7	700.75	65.21	0
1	8	650.65	76.79	0
1	9	600.5	87.49	0
1	10	550.27	97.02	0
1	11	500	105.07	0
1	12	449.68	111.25	0
1	13	399.33	115.02	0
1	14	348.97	115.1	0
1	15	298.61	112.4	0
1	16	248.29	107.01	0
1	17	197.99	98.89	0
1	18	147.76	87.78	0
1	19	97.65	72.82	0
1	20	72.64	63.34	0
1	21	47.72	51.82	0
1	22	22.97	36.65	0
1	23	10.75	26.18	0
1	24	5.96	20.49	0
1	25	3.62	16.9	0
1	26	0	0	0
1	27	6.38	-15.9	0
1	28	9.04	-19.09	0
1	29	14.25	-24.04	0
1	30	27.03	-32.93	0
1	31	52.28	-45.5	0
1	32	77.36	-54.86	0
1	33	102.37	-62.48	0
1	34	152.24	-74.32	0
1	35	202.01	-82.97	0
1	36	251.71	-89.11	0
1	37	301.39	-92.96	0
1	38	351.03	-94.5	0
1	39	400.67	-93.6	0
1	40	450.32	-89.35	0
1	41	500	-83.01	0
1	42	549.73	-75.12	0
1	43	599.5	-66.07	0
1	44	649.35	-56.19	0
1	45	699.25	-45.77	0
1	46	749.23	-35.2	0
1	47	799.27	-24.9	0
1	48	849.39	-15.39	0
1	49	899.56	-7.27	0
1	50	949.79	-1.33	0
1	0			
