#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	999.02	0.161	0
1	3	996.083	0.642	0
1	4	991.2	1.438	0
1	5	984.389	2.537	0
1	6	975.677	3.928	0
1	7	965.097	5.592	0
1	8	952.688	7.511	0
1	9	938.497	9.662	0
1	10	922.58	12.021	0
1	11	904.996	14.56	0
1	12	885.814	17.252	0
1	13	865.106	20.069	0
1	14	842.954	22.98	0
1	15	819.442	25.956	0
1	16	794.662	28.967	0
1	17	768.711	31.983	0
1	18	741.688	34.974	0
1	19	713.701	37.912	0
1	20	684.859	40.768	0
1	21	655.275	43.515	0
1	22	625.066	46.124	0
1	23	594.35	48.57	0
1	24	563.25	50.828	0
1	25	531.889	52.873	0
1	26	500.392	54.683	0
1	27	468.883	56.237	0
1	28	437.489	57.515	0
1	29	406.336	58.501	0
1	30	375.416	59.138	0
1	31	344.95	59.329	0
1	32	315.098	59.073	0
1	33	285.982	58.372	0
1	34	257.724	57.237	0
1	35	230.441	55.683	0
1	36	204.245	53.73	0
1	37	179.244	51.404	0
1	38	155.542	48.734	0
1	39	133.235	45.755	0
1	40	112.413	42.504	0
1	41	93.161	39.02	0
1	42	75.555	35.345	0
1	43	59.664	31.52	0
1	44	45.55	27.588	0
1	45	33.266	23.588	0
1	46	22.858	19.559	0
1	47	14.364	15.534	0
1	48	7.813	11.544	0
1	49	3.228	7.613	0
1	50	0.621	3.761	0
1	51	0	0	0
1	52	1.352	-3.564	0
1	53	4.658	-6.828	0
1	54	9.9	-9.792	0
1	55	17.053	-12.454	0
1	56	26.085	-14.814	0
1	57	36.957	-16.874	0
1	58	49.623	-18.637	0
1	59	64.029	-20.107	0
1	60	80.117	-21.292	0
1	61	97.822	-22.201	0
1	62	117.074	-22.847	0
1	63	137.797	-23.243	0
1	64	159.911	-23.409	0
1	65	183.332	-23.363	0
1	66	207.97	-23.129	0
1	67	233.732	-22.732	0
1	68	260.522	-22.199	0
1	69	288.238	-21.558	0
1	70	316.777	-20.839	0
1	71	346.033	-20.072	0
1	72	375.894	-19.286	0
1	73	406.282	-18.505	0
1	74	437.177	-17.67	0
1	75	468.327	-16.76	0
1	76	499.608	-15.794	0
1	77	530.901	-14.791	0
1	78	562.083	-13.768	0
1	79	593.031	-12.739	0
1	80	623.624	-11.716	0
1	81	653.742	-10.712	0
1	82	683.265	-9.734	0
1	83	712.078	-8.79	0
1	84	740.065	-7.885	0
1	85	767.116	-7.023	0
1	86	793.123	-6.206	0
1	87	817.982	-5.436	0
1	88	841.593	-4.714	0
1	89	863.862	-4.04	0
1	90	884.699	-3.416	0
1	91	904.021	-2.841	0
1	92	921.748	-2.316	0
1	93	937.809	-1.841	0
1	94	952.139	-1.418	0
1	95	964.68	-1.048	0
1	96	975.379	-0.731	0
1	97	984.194	-0.47	0
1	98	991.088	-0.265	0
1	99	996.032	-0.118	0
1	100	999.007	-0.03	0
1	0			
