#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.51	11.76	0
1	3	901.04	25.14	0
1	4	851.43	39.4	0
1	5	801.67	53.88	0
1	6	751.76	68.11	0
1	7	701.68	81.66	0
1	8	651.45	94.19	0
1	9	601.08	105.31	0
1	10	550.59	114.67	0
1	11	500	121.58	0
1	12	449.34	125.56	0
1	13	398.65	126.4	0
1	14	347.96	124.33	0
1	15	297.29	119.76	0
1	16	246.68	112.71	0
1	17	196.16	103.04	0
1	18	145.75	90.34	0
1	19	95.57	73.71	0
1	20	70.62	63.29	0
1	21	45.82	50.85	0
1	22	21.35	35.05	0
1	23	9.33	24.93	0
1	24	4.68	19.56	0
1	25	2.47	16.01	0
1	26	0	0	0
1	27	7.53	-14.01	0
1	28	10.32	-16.76	0
1	29	15.67	-20.65	0
1	30	28.65	-27.61	0
1	31	54.17	-38.21	0
1	32	79.38	-46.33	0
1	33	104.43	-53.03	0
1	34	154.25	-63.42	0
1	35	203.84	-71.2	0
1	36	253.32	-76.91	0
1	37	302.71	-80.88	0
1	38	352.04	-83.13	0
1	39	401.35	-83.56	0
1	40	450.66	-81.76	0
1	41	500	-77.46	0
1	42	549.41	-70.87	0
1	43	598.92	-62.47	0
1	44	648.55	-52.99	0
1	45	698.32	-42.78	0
1	46	748.24	-32.31	0
1	47	798.33	-22.04	0
1	48	848.57	-12.48	0
1	49	898.96	-4.46	0
1	50	949.49	0.88	0
1	0			
