#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0.6	0
1	2	950	7.07	0
1	3	900	12.59	0
1	4	800	20.99	0
1	5	700	26.35	0
1	6	600	29.17	0
1	7	500	30	0
1	8	400	29.27	0
1	9	300	27.09	0
1	10	200	23.32	0
1	11	150	20.67	0
1	12	100	17.29	0
1	13	75	15.16	0
1	14	50	12.55	0
1	15	25	9.03	0
1	16	12.5	6.46	0
1	17	0	0	0
1	18	12.5	-6.46	0
1	19	25	-9.03	0
1	20	50	-12.55	0
1	21	75	-15.16	0
1	22	100	-17.29	0
1	23	150	-20.67	0
1	24	200	-23.32	0
1	25	300	-27.09	0
1	26	400	-29.27	0
1	27	500	-30	0
1	28	600	-29.17	0
1	29	700	-26.35	0
1	30	800	-20.99	0
1	31	900	-12.59	0
1	32	950	-7.07	0
1	0			
