#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.13	5.21	0
1	3	900.36	12.97	0
1	4	850.64	21.73	0
1	5	800.9	30.82	0
1	6	751.12	39.83	0
1	7	701.24	48.42	0
1	8	651.23	56.34	0
1	9	600.94	63.18	0
1	10	550.51	68.56	0
1	11	500.17	72.31	0
1	12	449.83	74.23	0
1	13	399.51	74.44	0
1	14	349.21	73.04	0
1	15	298.94	70.29	0
1	16	248.69	66.11	0
1	17	198.48	60.42	0
1	18	148.33	52.98	0
1	19	98.27	43.3	0
1	20	73.29	37.28	0
1	21	48.37	30.17	0
1	22	23.56	21.13	0
1	23	11.24	15.2	0
1	24	6.38	11.94	0
1	25	3.99	9.82	0
1	26	0	0	0
1	27	6.01	-8.52	0
1	28	8.62	-10.12	0
1	29	13.76	-12.42	0
1	30	26.44	-16.25	0
1	31	51.63	-21.85	0
1	32	76.71	-26.06	0
1	33	101.73	-29.56	0
1	34	151.67	-35	0
1	35	201.52	-39.04	0
1	36	251.31	-41.97	0
1	37	301.06	-44.01	0
1	38	350.79	-45.18	0
1	39	400.49	-45.5	0
1	40	450.17	-44.75	0
1	41	499.83	-42.83	0
1	42	549.49	-39.68	0
1	43	599.06	-35.66	0
1	44	648.77	-31.24	0
1	45	698.76	-26.4	0
1	46	748.88	-21.31	0
1	47	799.1	-16.04	0
1	48	879.36	-10.85	0
1	49	899.64	-5.95	0
1	50	949.87	-1.91	0
1	0			
