#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.09	5.12	0
1	3	900.19	10.67	0
1	4	850.27	16.63	0
1	5	800.32	22.67	0
1	6	750.34	28.61	0
1	7	700.33	34.3	0
1	8	650.29	39.58	0
1	9	600.22	44.29	0
1	10	550.12	48.34	0
1	11	500	51.59	0
1	12	449.86	53.91	0
1	13	399.71	55.18	0
1	14	349.56	55.3	0
1	15	299.4	54.14	0
1	16	249.25	51.69	0
1	17	199.12	47.92	0
1	18	149.01	42.63	0
1	19	98.94	35.39	0
1	20	73.94	30.77	0
1	21	48.97	25.1	0
1	22	24.08	17.65	0
1	23	11.7	12.55	0
1	24	6.8	9.73	0
1	25	4.36	7.96	0
1	26	0	0	0
1	27	5.63	-6.96	0
1	28	8.2	-8.33	0
1	29	13.3	-10.41	0
1	30	25.92	-13.93	0
1	31	51.03	-18.78	0
1	32	76.06	-22.29	0
1	33	101.06	-25.05	0
1	34	150.99	-29.17	0
1	35	200.88	-32	0
1	36	250.75	-33.79	0
1	37	300.6	-34.7	0
1	38	350.44	-34.7	0
1	39	400.29	-33.76	0
1	40	450.14	-32.01	0
1	41	500	-29.53	0
1	42	549.88	-26.44	0
1	43	599.78	-22.87	0
1	44	649.71	-18.98	0
1	45	699.67	-14.86	0
1	46	749.66	-10.71	0
1	47	799.68	-6.75	0
1	48	849.73	-3.17	0
1	49	899.81	-0.33	0
1	50	949.91	1.2	0
1	0			
