#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.37	10.3	0
1	3	900.77	21.32	0
1	4	851.08	32.94	0
1	5	801.27	44.77	0
1	6	751.35	56.54	0
1	7	701.31	67.84	0
1	8	651.14	78.41	0
1	9	600.86	87.99	0
1	10	550.47	96.35	0
1	11	500	103.2	0
1	12	449.45	108.2	0
1	13	398.85	110.93	0
1	14	348.23	110.37	0
1	15	297.63	107.3	0
1	16	247.07	101.76	0
1	17	196.57	93.66	0
1	18	146.17	82.77	0
1	19	95.95	68.23	0
1	20	70.95	59.08	0
1	21	46.09	48	0
1	22	21.52	33.57	0
1	23	9.5	23.7	0
1	24	4.86	18.4	0
1	25	2.63	15.08	0
1	26	0	0	0
1	27	7.37	-13.08	0
1	28	10.14	-15.6	0
1	29	15.5	-19.42	0
1	30	28.48	-26.13	0
1	31	53.91	-35.36	0
1	32	79.05	-42.12	0
1	33	104.05	-47.55	0
1	34	153.83	-55.85	0
1	35	203.43	-61.82	0
1	36	252.93	-65.96	0
1	37	302.37	-68.42	0
1	38	351.77	-69.17	0
1	39	401.15	-68.09	0
1	40	450.55	-64.4	0
1	41	500	-59.08	0
1	42	549.53	-52.55	0
1	43	599.14	-45.15	0
1	44	648.86	-37.21	0
1	45	698.69	-28.96	0
1	46	748.65	-20.74	0
1	47	798.73	-12.93	0
1	48	848.92	-6.02	0
1	49	949.63	2.34	0
1	0			
