#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	999.018	0.176	0
1	3	996.076	0.702	0
1	4	991.186	1.572	0
1	5	984.365	2.776	0
1	6	975.64	4.299	0
1	7	965.045	6.124	0
1	8	952.619	8.23	0
1	9	938.412	10.594	0
1	10	922.476	13.192	0
1	11	904.875	15.996	0
1	12	885.675	18.977	0
1	13	864.951	22.107	0
1	14	842.784	25.355	0
1	15	819.26	28.693	0
1	16	794.47	32.089	0
1	17	768.512	35.512	0
1	18	741.486	38.934	0
1	19	713.499	42.323	0
1	20	684.66	45.65	0
1	21	655.084	48.883	0
1	22	624.886	51.992	0
1	23	594.186	54.947	0
1	24	563.104	57.718	0
1	25	531.766	60.273	0
1	26	500.294	62.583	0
1	27	468.813	64.618	0
1	28	437.45	66.351	0
1	29	406.33	67.754	0
1	30	375.476	68.781	0
1	31	345.086	69.37	0
1	32	315.308	69.502	0
1	33	286.264	69.169	0
1	34	258.074	68.364	0
1	35	230.851	67.088	0
1	36	204.709	65.345	0
1	37	179.753	63.148	0
1	38	156.086	60.513	0
1	39	133.802	57.462	0
1	40	112.992	54.021	0
1	41	93.74	50.22	0
1	42	76.121	46.094	0
1	43	60.206	41.677	0
1	44	46.055	37.007	0
1	45	33.723	32.12	0
1	46	23.258	27.051	0
1	47	14.697	21.834	0
1	48	8.071	16.497	0
1	49	3.404	11.067	0
1	50	0.712	5.563	0
1	51	0	0	0
1	52	1.262	-5.465	0
1	53	4.481	-10.675	0
1	54	9.642	-15.621	0
1	55	16.72	-20.294	0
1	56	25.686	-24.679	0
1	57	36.5	-28.763	0
1	58	49.118	-32.531	0
1	59	63.488	-35.971	0
1	60	79.551	-39.067	0
1	61	97.243	-41.811	0
1	62	116.494	-44.192	0
1	63	137.229	-46.206	0
1	64	159.367	-47.85	0
1	65	182.823	-49.128	0
1	66	207.506	-50.045	0
1	67	233.322	-50.612	0
1	68	260.173	-50.845	0
1	69	287.957	-50.762	0
1	70	316.568	-50.386	0
1	71	345.897	-49.741	0
1	72	375.834	-48.855	0
1	73	406.289	-47.756	0
1	74	437.216	-46.428	0
1	75	468.396	-44.88	0
1	76	499.706	-43.138	0
1	77	531.025	-41.232	0
1	78	562.229	-39.188	0
1	79	593.196	-37.032	0
1	80	623.804	-34.788	0
1	81	653.933	-32.481	0
1	82	683.464	-30.133	0
1	83	712.281	-27.762	0
1	84	740.268	-25.39	0
1	85	767.315	-23.032	0
1	86	793.315	-20.708	0
1	87	818.164	-18.433	0
1	88	841.763	-16.222	0
1	89	864.017	-14.093	0
1	90	884.838	-12.059	0
1	91	904.142	-10.136	0
1	92	921.852	-8.339	0
1	93	937.895	-6.684	0
1	94	952.208	-5.183	0
1	95	964.732	-3.851	0
1	96	975.416	-2.7	0
1	97	984.218	-1.742	0
1	98	991.102	-0.986	0
1	99	996.038	-0.44	0
1	100	999.009	-0.11	0
1	0			
