#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	987.5	1.194	0
1	3	980	1.91	0
1	4	975	2.388	0
1	5	960	3.82	0
1	6	950	4.775	0
1	7	940	5.73	0
1	8	925	7.163	0
1	9	920	7.641	0
1	10	900	9.551	0
1	11	880	11.461	0
1	12	860	13.371	0
1	13	850	14.326	0
1	14	840	15.281	0
1	15	820	17.191	0
1	16	800	19.101	0
1	17	780	21.011	0
1	18	760	22.92	0
1	19	750	23.873	0
1	20	740	24.825	0
1	21	720	26.72	0
1	22	700	28.598	0
1	23	680	30.454	0
1	24	660	32.279	0
1	25	650	33.179	0
1	26	640	34.068	0
1	27	620	35.813	0
1	28	600	37.507	0
1	29	580	39.142	0
1	30	560	40.709	0
1	31	550	41.465	0
1	32	540	42.201	0
1	33	520	43.608	0
1	34	500	44.92	0
1	35	480	46.124	0
1	36	460	47.207	0
1	37	450	47.699	0
1	38	440	48.154	0
1	39	420	48.942	0
1	40	400	49.534	0
1	41	380	49.869	0
1	42	360	49.997	0
1	43	350	49.992	0
1	44	340	49.943	0
1	45	320	49.718	0
1	46	300	49.323	0
1	47	280	48.761	0
1	48	260	48.027	0
1	49	250	47.595	0
1	50	240	47.117	0
1	51	220	46.021	0
1	52	200	44.727	0
1	53	180	43.219	0
1	54	160	41.475	0
1	55	150	40.505	0
1	56	140	39.463	0
1	57	120	37.142	0
1	58	100	34.45	0
1	59	90	32.937	0
1	60	80	31.291	0
1	61	75	30.412	0
1	62	70	29.491	0
1	63	60	27.506	0
1	64	50	25.293	0
1	65	40	22.786	0
1	66	35	21.39	0
1	67	30	19.873	0
1	68	25	18.205	0
1	69	20	16.34	0
1	70	18	15.523	0
1	71	16	14.655	0
1	72	14	13.727	0
1	73	12.5	12.985	0
1	74	12	12.727	0
1	75	10	11.634	0
1	76	9	11.044	0
1	77	8	10.42	0
1	78	7.5	10.092	0
1	79	7	9.753	0
1	80	6	9.036	0
1	81	5	8.254	0
1	82	4	7.388	0
1	83	3	6.402	0
1	84	2	5.231	0
1	85	1	3.701	0
1	86	0	0	0
1	87	1	-3.701	0
1	88	2	-5.231	0
1	89	3	-6.402	0
1	90	4	-7.388	0
1	91	5	-8.254	0
1	92	6	-9.036	0
1	93	7	-9.753	0
1	94	7.5	-10.092	0
1	95	8	-10.42	0
1	96	9	-11.044	0
1	97	10	-11.634	0
1	98	12	-12.727	0
1	99	12.5	-12.985	0
1	100	14	-13.727	0
1	101	16	-14.655	0
1	102	18	-15.523	0
1	103	20	-16.34	0
1	104	25	-18.205	0
1	105	30	-19.873	0
1	106	35	-21.39	0
1	107	40	-22.786	0
1	108	50	-25.293	0
1	109	60	-27.506	0
1	110	70	-29.491	0
1	111	75	-30.412	0
1	112	80	-31.291	0
1	113	90	-32.937	0
1	114	100	-34.45	0
1	115	120	-37.142	0
1	116	140	-39.463	0
1	117	150	-40.505	0
1	118	160	-41.475	0
1	119	180	-43.219	0
1	120	200	-44.727	0
1	121	220	-46.021	0
1	122	240	-47.117	0
1	123	250	-47.595	0
1	124	260	-48.027	0
1	125	280	-48.761	0
1	126	300	-49.323	0
1	127	320	-49.718	0
1	128	340	-49.943	0
1	129	350	-49.992	0
1	130	360	-49.997	0
1	131	380	-49.869	0
1	132	400	-49.534	0
1	133	420	-48.942	0
1	134	440	-48.154	0
1	135	450	-47.699	0
1	136	460	-47.207	0
1	137	480	-46.124	0
1	138	500	-44.92	0
1	139	520	-43.608	0
1	140	540	-42.201	0
1	141	550	-41.465	0
1	142	560	-40.709	0
1	143	580	-39.142	0
1	144	600	-37.507	0
1	145	620	-35.813	0
1	146	640	-34.068	0
1	147	650	-33.179	0
1	148	660	-32.279	0
1	149	680	-30.454	0
1	150	700	-28.598	0
1	151	720	-26.72	0
1	152	740	-24.825	0
1	153	750	-23.873	0
1	154	760	-22.92	0
1	155	780	-21.011	0
1	156	800	-19.101	0
1	157	820	-17.191	0
1	158	840	-15.281	0
1	159	850	-14.326	0
1	160	860	-13.371	0
1	161	880	-11.461	0
1	162	900	-9.551	0
1	163	920	-7.641	0
1	164	925	-7.163	0
1	165	940	-5.73	0
1	166	950	-4.775	0
1	167	960	-3.82	0
1	168	975	-2.388	0
1	169	980	-1.91	0
1	170	987.5	-1.194	0
1	0			
