#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.11	5.43	0
1	3	900.21	11.28	0
1	4	850.3	17.42	0
1	5	800.35	23.6	0
1	6	750.36	29.64	0
1	7	700.35	35.33	0
1	8	650.3	40.56	0
1	9	600.22	45.23	0
1	10	550.12	49.21	0
1	11	500	52.39	0
1	12	449.86	54.59	0
1	13	399.71	55.61	0
1	14	349.56	55.09	0
1	15	299.41	53.45	0
1	16	249.27	50.64	0
1	17	199.15	46.63	0
1	18	149.05	41.27	0
1	19	98.99	34.13	0
1	20	73.98	29.65	0
1	21	49.01	24.23	0
1	22	24.11	17.16	0
1	23	11.72	12.32	0
1	24	6.8	9.59	0
1	25	4.38	7.86	0
1	26	0	0	0
1	27	5.62	-6.86	0
1	28	8.2	-8.19	0
1	29	13.28	-11.08	0
1	30	25.89	-13.34	0
1	31	50.99	-17.91	0
1	32	76.02	-21.17	0
1	33	101.01	-23.79	0
1	34	150.95	-27.81	0
1	35	200.85	-30.71	0
1	36	250.73	-32.74	0
1	37	300.59	-34.01	0
1	38	350.44	-34.49	0
1	39	400.29	-34.19	0
1	40	450.14	-32.69	0
1	41	500	-30.33	0
1	42	549.88	-27.31	0
1	43	599.78	-23.81	0
1	44	649.7	-19.96	0
1	45	699.65	-15.89	0
1	46	749.64	-11.74	0
1	47	799.65	-7.68	0
1	48	849.7	-3.96	0
1	49	899.79	-0.94	0
1	50	949.89	0.89	0
1	0			
