#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.17	6.72	0
1	3	900.33	14.63	0
1	4	850.45	23.02	0
1	5	800.52	31.4	0
1	6	750.53	39.54	0
1	7	700.5	47.15	0
1	8	650.43	54.11	0
1	9	600.32	60.14	0
1	10	550.17	65.07	0
1	11	500	68.6	0
1	12	449.81	70.44	0
1	13	399.61	70.68	0
1	14	349.42	69.42	0
1	15	299.23	66.87	0
1	16	249.06	63	0
1	17	198.9	57.7	0
1	18	148.79	50.73	0
1	19	98.73	41.62	0
1	20	73.73	35.93	0
1	21	48.78	29.19	0
1	22	23.91	20.58	0
1	23	11.54	14.91	0
1	24	6.64	11.76	0
1	25	4.23	9.7	0
1	26	0	0	0
1	27	5.77	-8.7	0
1	28	8.36	-10.36	0
1	29	13.46	-12.77	0
1	30	26.09	-16.86	0
1	31	51.22	-22.87	0
1	32	76.27	-27.45	0
1	33	101.27	-31.28	0
1	34	151.21	-37.27	0
1	35	201.1	-41.78	0
1	36	250.94	-45.1	0
1	37	300.77	-47.43	0
1	38	350.58	-48.82	0
1	39	400.39	-49.26	0
1	40	450.19	-48.54	0
1	41	500	-46.54	0
1	42	549.83	-43.17	0
1	43	599.68	-38.72	0
1	44	649.57	-33.51	0
1	45	699.5	-27.71	0
1	46	749.47	-21.64	0
1	47	799.48	-15.48	0
1	48	849.55	-9.56	0
1	49	899.67	-4.29	0
1	50	949.83	-0.4	0
1	0			
