#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.32	9.76	0
1	3	900.66	19.82	0
1	4	850.92	30.2	0
1	5	801.09	40.62	0
1	6	751.15	50.84	0
1	7	701.11	60.55	0
1	8	650.96	69.54	0
1	9	600.87	77.62	0
1	10	550.4	84.56	0
1	11	500	90.16	0
1	12	449.54	94.14	0
1	13	399.04	96.14	0
1	14	348.53	95.41	0
1	15	298.03	92.6	0
1	16	247.56	87.71	0
1	17	197.14	80.66	0
1	18	146.81	71.22	0
1	19	96.62	58.64	0
1	20	71.62	50.75	0
1	21	46.73	41.21	0
1	22	22.07	28.83	0
1	23	9.96	20.38	0
1	24	5.26	15.79	0
1	25	2.99	12.91	0
1	26	0	0	0
1	27	7.01	-10.91	0
1	28	9.74	-12.99	0
1	29	15.04	-16.1	0
1	30	27.93	-21.39	0
1	31	53.27	-28.57	0
1	32	78.38	-33.79	0
1	33	103.38	-37.96	0
1	34	153.19	-44.3	0
1	35	202.86	-48.82	0
1	36	252.44	-51.91	0
1	37	301.97	-53.72	0
1	38	351.47	-54.21	0
1	39	400.96	-53.3	0
1	40	450.46	-50.34	0
1	41	500	-46.04	0
1	42	549.6	-40.76	0
1	43	599.28	-34.78	0
1	44	649.04	-28.34	0
1	45	698.89	-21.67	0
1	46	748.85	-15.04	0
1	47	798.97	-8.78	0
1	48	849.08	-3.28	0
1	49	899.34	0.86	0
1	50	949.68	2.88	0
1	0			
