#Group	Point	X_cord	Y_cord	Z_cord
1	1	1000	0	0
1	2	950.13	5.96	0
1	3	900.26	12.55	0
1	4	850.35	19.33	0
1	5	800.4	26.01	0
1	6	750.41	32.37	0
1	7	700.39	38.28	0
1	8	650.33	43.58	0
1	9	600.24	48.14	0
1	10	550.13	51.81	0
1	11	500	54.39	0
1	12	449.86	55.64	0
1	13	399.71	55.67	0
1	14	349.56	54.61	0
1	15	299.42	52.54	0
1	16	249.29	49.44	0
1	17	199.18	45.22	0
1	18	149.09	39.71	0
1	19	99.04	32.51	0
1	20	74.05	28.05	0
1	21	49.08	22.75	0
1	22	24.17	16.05	0
1	23	11.77	11.62	0
1	24	6.84	9.12	0
1	25	4.41	7.48	0
1	26	0	0	0
1	27	5.59	-6.48	0
1	28	8.16	-7.72	0
1	29	13.23	-9.48	0
1	30	25.83	-12.33	0
1	31	50.92	-16.43	0
1	32	75.95	-19.57	0
1	33	100.96	-22.17	0
1	34	150.91	-26.25	0
1	35	200.82	-29.3	0
1	36	250.71	-31.54	0
1	37	300.58	-33.1	0
1	38	350.44	-34.01	0
1	39	400.29	-34.25	0
1	40	450.14	-33.74	0
1	41	500	-32.33	0
1	42	549.87	-29.91	0
1	43	599.76	-26.72	0
1	44	649.67	-22.98	0
1	45	699.61	-18.84	0
1	46	749.59	-14.47	0
1	47	799.6	-10.09	0
1	48	849.65	-5.87	0
1	49	899.74	-2.21	0
1	50	949.87	0.36	0
1	0			
